Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
19000,1.4304568,-0.018657349,2.3098386e-05,0.09413436,0.00029943744,498.0,-22.737326939900715,-22.737326939900715,1.0
20000,None,-0.06179887,78.08431,0.2525935,0.00029940493,498.05555555555554,-21.455979824066162,-21.455979824066162,1.0
21000,1.4337893,-0.3723781,52.54928,0.27590203,0.00029937277,None,-19.93025272770932,-19.93025272770932,1.0
22000,None,-1.0167427,None,None,None,None,None,None,1.0
23000,1.431444,-0.919041,0.018042274,0.23248476,0.00029933287,None,None,None,1.0
24000,1.4294862,-0.84618986,0.010233508,0.19825011,0.00029929256,None,None,None,1.0
25000,None,-0.7643731,0.0069421865,0.23451023,0.00029925216,None,None,None,1.0
26000,1.4246701,-0.67108184,None,None,None,None,None,None,1.0
27000,1.4131812,-0.60577315,0.005170282,0.24275914,0.00029921188,None,None,None,1.0
28000,1.4164027,-0.5571115,0.002301622,0.25244245,0.00029917157,None,None,None,1.0
29000,1.4165359,-0.50241166,0.002452422,0.24474709,0.00029913316,None,None,None,1.0
30000,1.4172221,-0.4397579,0.0032042658,0.18723875,0.00029912934,None,None,None,1.0
31000,1.4075217,-0.4047417,0.0009935,0.24679394,0.00029909096,None,None,None,1.0
32000,1.4081465,-0.36483967,0.0014374775,0.24574782,0.00029905062,None,None,None,1.0
33000,None,-0.32893783,0.00052092975,0.23933582,0.00029901025,None,None,None,1.0
34000,1.4058855,-0.29097605,None,None,None,None,None,None,1.0
35000,1.4055152,-0.25861722,0.0010077928,0.20010047,0.0002989699,None,None,None,1.0
36000,None,-0.23483536,0.00023326569,0.24476247,0.00029892966,None,None,None,1.0
37000,1.4059118,-0.21197616,0.0003220615,0.1959786,0.00029889125,None,None,None,1.0
38000,1.4061308,-0.18030448,0.0004704311,0.24648735,0.0002988874,None,None,None,1.0
39000,1.3988326,-0.16435723,0.00022265658,0.19318175,0.00029884905,None,None,None,1.0
40000,1.4000951,-0.14574942,0.00018290427,0.23444,0.00029880868,500.0,-21.51428771018982,-21.51428771018982,1.0
41000,None,-0.1850183,67.18543,0.25603223,0.00029877498,499.94117647058823,-19.73221859179045,-19.73221859179045,1.0
42000,1.4029573,-0.507069,62.219,0.25610003,0.00029874317,None,-20.026400989956326,-20.026400989956326,1.0
43000,1.4014795,-1.201889,68.04976,0.20681816,0.00029874005,None,-23.155540466308594,-23.155540466308594,1.0
44000,1.4013295,-1.1276481,0.011943747,0.2543483,0.00029870163,None,None,None,1.0
45000,1.3974876,-1.0293759,0.01347216,0.23222707,0.0002986613,None,None,None,1.0
46000,None,-0.9339043,0.0053156666,0.25497523,0.00029862093,None,None,None,1.0
47000,1.3939002,-0.8243448,None,None,None,None,None,None,1.0
48000,1.3930751,-0.7413427,0.0067176633,0.22993606,0.00029858062,None,None,None,1.0
49000,None,-0.6868912,0.0026266254,0.25551817,0.00029853845,None,None,None,1.0
50000,1.3958167,-0.6209494,None,None,None,None,None,None,1.0
51000,1.3963025,-0.5543573,0.0025266854,0.24160115,0.00029850003,None,None,None,1.0
52000,1.3987741,-0.5065577,0.0021527514,0.21845333,0.00029845972,None,None,None,1.0
53000,1.401355,-0.45894194,0.0020217057,0.24180743,0.00029841939,None,None,None,1.0
54000,None,-0.40889668,None,None,None,None,None,None,1.0
55000,1.4084401,-0.36186278,0.0008883888,0.23470996,0.00029837902,None,None,None,1.0
56000,1.4080964,-0.320771,0.0010410429,0.23011366,0.00029833874,None,None,None,1.0
57000,None,-0.293062,0.00042996777,0.24600668,0.00029829843,None,None,None,1.0
58000,1.405636,-0.26275542,None,None,None,None,None,None,1.0
59000,1.4058926,-0.22093041,0.0006428595,0.2321904,0.0002982581,None,None,None,1.0
60000,1.4038527,-0.19944474,0.00017721717,0.2404203,0.0002982178,None,None,None,1.0
61000,1.4031143,-0.1782368,0.00027908295,0.19910151,0.0002981775,499.0,-19.861629168192547,-19.861629168192547,1.0
62000,None,-0.19542456,72.19002,0.26900458,0.00029814432,499.0,-20.751670737015573,-20.751670737015573,1.0
63000,1.3998587,-0.5481739,62.652843,0.25911894,0.0002981131,None,-20.183755724053633,-20.183755724053633,1.0
64000,1.3959422,-1.3057691,76.24812,0.24327211,0.00029810998,None,-17.40410804748535,-17.40410804748535,1.0
65000,1.4012105,-1.2249835,0.017880645,0.2495116,0.00029807162,None,None,None,1.0
66000,1.4009738,-1.102761,0.016113916,0.2566175,0.00029803131,None,None,None,1.0
67000,None,-1.0078629,None,None,None,None,None,None,1.0
68000,1.399695,-0.8876018,0.008236504,0.25063568,0.00029798903,None,None,None,1.0
69000,1.4027243,-0.7936926,0.007098822,0.25898284,0.00029794872,None,None,None,1.0
70000,None,-0.7300677,0.003221928,0.24187589,0.0002979084,None,None,None,1.0
71000,1.4011468,-0.66678137,None,None,None,None,None,None,1.0
72000,1.396109,-0.5700938,0.00417956,0.23226741,0.0002978681,None,None,None,1.0
73000,1.3923323,-0.5241035,0.0015457919,0.24307477,0.00029782782,None,None,None,1.0
74000,1.3913172,-0.48097858,0.0016158889,0.21234064,0.0002977894,None,None,None,1.0
75000,None,-0.43188795,None,None,None,None,None,None,1.0
76000,1.3892763,-0.38158682,0.0011298959,0.2322958,0.000297749,None,None,None,1.0
77000,1.3964136,-0.33885232,0.0012047682,0.24944624,0.00029770873,None,None,None,1.0
78000,None,-0.3092404,0.0004321192,0.2361016,0.00029766653,None,None,None,1.0
79000,1.394117,-0.27732268,None,None,None,None,None,None,1.0
80000,1.399691,-0.23705873,0.0006048695,0.26043713,0.0002976262,None,None,None,1.0
81000,1.3889368,-0.21871649,0.00042420233,0.21295637,0.00029758588,None,None,None,1.0
82000,1.3906602,-0.1983366,0.00020554817,0.2273081,0.0002975475,499.0,-22.426266352335613,-22.426266352335613,1.0
83000,None,-0.21413419,65.03764,0.2566417,0.0002975143,499.0,-20.576251582095498,-20.576251582095498,1.0
84000,1.3857286,-0.5420941,66.71734,0.24910785,0.00029748311,None,-20.748520951522025,-20.748520951522025,1.0
85000,1.3892975,-1.2946765,93.3832,0.23053569,0.00029748,None,-17.26451301574707,-17.26451301574707,1.0
86000,1.3936102,-1.2045872,0.023539044,0.23161411,0.0002974416,None,None,None,1.0
87000,1.3888793,-1.0933782,0.013869693,0.2610355,0.00029740128,None,None,None,1.0
88000,None,-0.9973758,None,None,None,None,None,None,1.0
89000,1.3935381,-0.891359,0.006588902,0.24164183,0.00029735902,None,None,None,1.0
90000,1.3884503,-0.7958613,0.00698798,0.2360596,0.00029731874,None,None,None,1.0
91000,None,-0.7321478,0.0038425967,0.2311775,0.0002972784,None,None,None,1.0
92000,1.4069549,-0.665014,None,None,None,None,None,None,1.0
93000,1.4043045,-0.57397866,0.0038419152,0.24851194,0.0002972381,None,None,None,1.0
94000,1.4085059,-0.5253895,0.0018136785,0.24874556,0.0002971978,None,None,None,1.0
95000,1.4066685,-0.47902238,0.0014976409,0.24995136,0.0002971594,None,None,None,1.0
96000,None,-0.43088883,None,None,None,None,None,None,1.0
97000,1.4100271,-0.38054264,0.0013467323,0.20324595,0.00029711908,None,None,None,1.0
98000,1.4122767,-0.33885318,0.0013922617,0.234196,0.00029707878,None,None,None,1.0
99000,None,-0.30908692,0.00039909527,0.2534686,0.0002970365,None,None,None,1.0
100000,1.4051015,-0.27876526,None,None,None,None,None,None,1.0
101000,1.4051917,-0.23471656,0.0007346608,0.22013271,0.00029699615,None,None,None,1.0
102000,1.4011784,-0.21409413,0.0002404207,0.2372352,0.00029695587,None,None,None,1.0
103000,1.4020518,-0.19558668,0.00033462126,0.22339876,0.00029691748,499.0,-19.777760187784832,-19.777760187784832,1.0
104000,None,-0.20743541,57.42345,0.25852728,0.00029688433,499.0,-19.526007451509173,-19.526007451509173,1.0
105000,1.402287,-0.5451745,68.17077,0.25204843,0.0002968531,None,-20.52268756063361,-20.52268756063361,1.0
106000,1.3970059,-1.2552664,54.77534,0.2874452,0.00029685002,None,-18.29353141784668,-18.29353141784668,1.0
107000,1.3972465,-1.1666508,0.019645335,0.24131885,0.0002968097,None,None,None,1.0
108000,1.4004606,-1.0715505,0.008007892,0.25649774,0.0002967713,None,None,None,1.0
109000,None,-0.9757495,0.007612704,0.2424604,0.00029673098,None,None,None,1.0
110000,1.401198,-0.85466206,None,None,None,None,None,None,1.0
111000,1.4010663,-0.7707735,0.0071163224,0.23226893,0.00029669068,None,None,None,1.0
112000,None,-0.70694286,0.0027647838,0.2543477,0.00029665037,None,None,None,1.0
113000,1.3961118,-0.64540076,0.0023245842,0.24233882,0.00029661198,None,None,None,1.0
114000,1.3956367,-0.5531908,0.0048658717,0.22741294,0.00029660802,None,None,None,1.0
115000,1.3974931,-0.5091016,0.0016124863,0.2452399,0.0002965697,None,None,None,1.0
116000,1.392291,-0.45882326,0.002098246,0.23402014,0.00029652938,None,None,None,1.0
117000,None,-0.4039389,None,None,None,None,None,None,1.0
118000,1.3921168,-0.35828203,0.0007421107,0.2527076,0.00029648907,None,None,None,1.0
119000,1.3984643,-0.31558552,0.001270886,0.2372224,0.0002964487,None,None,None,1.0
120000,None,-0.2835372,0.00046631167,0.23273437,0.00029640837,None,None,None,1.0
121000,1.3991586,-0.25489464,None,None,None,None,None,None,1.0
122000,1.3964888,-0.21475482,0.00052768795,0.22224799,0.00029636812,None,None,None,1.0
123000,1.3948371,-0.19482958,0.00029377596,0.21985042,0.00029632778,None,None,None,1.0
124000,1.3976822,-0.17535967,0.0003046177,0.24854949,0.0002962874,499.0,-22.31086826324463,-22.31086826324463,1.0
125000,None,-0.19077747,72.83507,0.25615534,0.00029625432,499.0,-20.89640878376208,-20.89640878376208,1.0
126000,1.3947331,-0.5675845,64.43888,0.23750812,0.00029622318,None,-20.07555685545269,-20.07555685545269,1.0
127000,1.3974041,-1.3103926,61.680775,0.29070398,0.00029622004,None,-15.017316818237305,-15.017316818237305,1.0
128000,1.3972346,-1.2201936,0.015935479,0.24042605,0.0002961816,None,None,None,1.0
129000,1.3939991,-1.1007059,0.013584714,0.25673822,0.00029614125,None,None,None,1.0
130000,None,-0.997665,0.0058589154,0.2445379,0.00029610097,None,None,None,1.0
131000,1.3905356,-0.86961627,None,None,None,None,None,None,1.0
132000,1.3902663,-0.78391623,0.007586344,0.27337596,0.00029606067,None,None,None,1.0
133000,None,-0.71964437,0.0027481064,0.23814137,0.00029602036,None,None,None,1.0
134000,1.3832755,-0.65441436,0.0025175249,0.23320334,0.00029598197,None,None,None,1.0
135000,1.3825531,-0.5579863,0.0053662783,0.17814523,0.0002959781,None,None,None,1.0
136000,1.3910418,-0.51243657,0.0017327893,0.23934563,0.00029593965,None,None,None,1.0
137000,1.3875962,-0.46349832,0.0021473896,0.24286935,0.00029589934,None,None,None,1.0
138000,None,-0.40617836,None,None,None,None,None,None,1.0
139000,1.3842691,-0.3587135,0.0007300011,0.24207039,0.00029585906,None,None,None,1.0
140000,1.3864362,-0.32436123,0.0035720558,0.24241933,0.00029581873,None,None,None,1.0
141000,None,-0.3014658,0.00058153697,0.22272258,0.00029577845,None,None,None,1.0
142000,1.3806171,-0.27521425,None,None,None,None,None,None,1.0
143000,1.3736818,-0.2249766,0.0008024499,0.24132648,0.0002957381,None,None,None,1.0
144000,1.3642151,-0.20879462,0.00032738675,0.22952764,0.00029569585,None,None,None,1.0
145000,1.3696636,-0.18978764,0.0003540303,0.22556962,0.00029565746,499.0,-21.079466183980305,-21.079466183980305,1.0
146000,None,-0.20695543,64.84081,0.2649482,0.00029562437,499.05555555555554,-20.52425379502146,-20.52425379502146,1.0
147000,1.3629357,-0.56459975,78.8531,0.26738185,0.00029559314,None,-21.95877506858424,-21.95877506858424,1.0
148000,1.3622642,-1.3524482,73.31834,0.29914197,0.00029558997,None,-20.54489517211914,-20.54489517211914,1.0
149000,1.3653187,-1.2517294,0.021503353,0.24480174,0.00029555155,None,None,None,1.0
150000,1.3630222,-1.144592,0.01349324,0.2553162,0.0002955113,None,None,None,1.0
151000,None,-1.0282395,0.0064648776,0.2367224,0.00029547093,None,None,None,1.0
152000,1.3595548,-0.90098554,None,None,None,None,None,None,1.0
153000,1.3503791,-0.80540186,0.007346216,0.26146623,0.0002954306,None,None,None,1.0
154000,1.3414202,-0.7329098,0.0026690208,0.2625235,0.00029539032,None,None,None,1.0
155000,1.3413705,-0.66824085,0.0023042487,0.24877656,0.00029535193,None,None,None,1.0
156000,1.3415812,-0.566394,0.0051574074,0.24301021,0.00029534812,None,None,None,1.0
157000,1.3371378,-0.5174593,0.001614031,0.24010174,0.00029530964,None,None,None,1.0
158000,1.3384806,-0.46667308,0.0022321325,0.22035766,0.0002952693,None,None,None,1.0
159000,None,-0.41416603,None,None,None,None,None,None,1.0
160000,1.3447214,-0.3625567,0.00084461557,0.24255401,0.00029522902,None,None,None,1.0
161000,1.3374475,-0.3203744,0.0008882318,0.26791632,0.00029518869,None,None,None,1.0
162000,None,-0.28971618,0.0006797576,0.2383873,0.0002951484,None,None,None,1.0
163000,1.3336447,-0.26347178,None,None,None,None,None,None,1.0
164000,1.3335581,-0.21984547,0.0006755469,0.24161269,0.0002951081,None,None,None,1.0
165000,1.3318435,-0.20026629,0.0005109317,0.23489074,0.0002950677,None,None,None,1.0
166000,1.3361841,-0.17910686,0.0002382393,0.2095846,0.0002950274,500.0,-19.831590970357258,-19.831590970357258,1.0
167000,None,-0.19259864,64.2821,0.2650657,0.00029499372,499.94444444444446,-20.07634152864155,-20.07634152864155,1.0
168000,1.3338277,-0.5739603,74.69759,0.2340751,0.00029496194,None,-21.541989778217516,-21.541989778217516,1.0
169000,1.3305204,-1.3297082,50.3252,0.23353942,0.0002949588,None,-19.116134643554688,-19.116134643554688,1.0
170000,None,-1.2553937,0.017170353,0.22880392,0.00029492032,None,None,None,1.0
171000,1.329985,-1.1218721,0.01413766,0.2598972,0.00029488,None,None,None,1.0
172000,None,-1.0064781,None,None,None,None,None,None,1.0
173000,1.3251492,-0.8960536,0.006713133,0.24039972,0.00029483784,None,None,None,1.0
174000,1.3227369,-0.8050593,0.004229627,0.24174471,0.00029479942,None,None,None,1.0
175000,None,-0.73964,0.0029378673,0.24029252,0.00029475903,None,None,None,1.0
176000,1.3186406,-0.6682724,0.0021762978,0.25491953,0.0002947207,None,None,None,1.0
177000,1.3182425,-0.5659558,0.005298923,0.26173005,0.00029471685,None,None,None,1.0
178000,None,-0.5224203,0.0013099363,0.23388846,0.0002946784,None,None,None,1.0
179000,1.310469,-0.4677279,0.0017926206,0.2648059,0.00029463807,None,None,None,1.0
180000,None,-0.40751654,None,None,None,None,None,None,1.0
181000,1.3104112,-0.36788473,0.000777379,0.23092146,0.0002945959,None,None,None,1.0
182000,1.3091284,-0.3235281,0.00096673274,0.22967587,0.00029455562,None,None,None,1.0
183000,None,-0.28944874,0.00030247608,0.2397679,0.00029451522,None,None,None,1.0
184000,1.30462,-0.25581032,None,None,None,None,None,None,1.0
185000,1.3080201,-0.21671413,0.00064882194,0.22453749,0.00029447488,None,None,None,1.0
186000,1.3131847,-0.19750816,0.00038059152,0.22972234,0.0002944346,None,None,None,1.0
187000,1.3041583,-0.17904437,0.00012496457,0.25235194,0.0002943962,499.0,-25.376816749572754,-25.376816749572754,1.0
188000,None,-0.17797615,51.936535,0.2549531,0.0002943631,499.0,-17.57352156388132,-17.57352156388132,1.0
189000,1.3020085,-0.54572356,62.465794,0.24006797,0.0002943319,None,-19.77143268585205,-19.77143268585205,1.0
190000,1.3078129,-1.3345869,60.114643,0.25511405,0.00029432873,None,-19.789316177368164,-19.789316177368164,1.0
191000,None,-1.2546225,0.013930872,0.23800947,0.0002942904,None,None,None,1.0
192000,1.3123918,-1.1255581,0.0126141,0.229314,0.00029424997,None,None,None,1.0
193000,None,-1.009717,None,None,None,None,None,None,1.0
194000,1.3135954,-0.8949507,0.004658783,0.2274863,0.00029420972,None,None,None,1.0
195000,1.3112051,-0.7995282,0.0069106612,0.25922823,0.0002941694,None,None,None,1.0
196000,None,-0.7225925,0.0023508256,0.2577465,0.0002941291,None,None,None,1.0
197000,1.3168026,-0.65401495,0.0019344758,0.2515171,0.00029409069,None,None,None,1.0
198000,1.3176488,-0.5543212,0.0047156606,0.18826492,0.0002940868,None,None,None,1.0
199000,1.3195245,-0.5122837,0.0015836367,0.24124263,0.00029404843,None,None,None,1.0
200000,1.320164,-0.45965934,0.002010629,0.26126587,0.00029400815,None,None,None,1.0
201000,None,-0.40495294,None,None,None,None,None,None,1.0
202000,1.3189691,-0.36291808,0.0007579324,0.2512425,0.0002939678,None,None,None,1.0
203000,1.3166047,-0.316925,0.001071165,0.2239369,0.00029392744,None,None,None,1.0
204000,None,-0.2859335,0.00038473567,0.23056123,0.00029388527,None,None,None,1.0
205000,1.3202496,-0.25381947,None,None,None,None,None,None,1.0
206000,1.3166867,-0.21608466,0.00044209766,0.2148945,0.0002938449,None,None,None,1.0
207000,1.3132129,-0.19452003,0.00023793922,0.20498092,0.0002938046,None,None,None,1.0
208000,1.3180984,-0.17450279,0.00034306338,0.21558946,0.00029376618,499.0,-22.660192489624023,-22.660192489624023,1.0
209000,None,-0.17278385,64.93516,0.24408315,0.00029373306,499.0,-20.460202668842516,-20.460202668842516,1.0
210000,1.3150041,-0.52102274,61.49915,0.2458723,0.00029370186,None,-19.31849126815796,-19.31849126815796,1.0
211000,1.3194954,-1.2840587,61.872192,0.20474789,0.00029369877,None,-17.1048526763916,-17.1048526763916,1.0
212000,1.3248894,-1.2056193,0.0142945545,0.24177511,0.00029366039,None,None,None,1.0
213000,1.324485,-1.0860257,0.011346285,0.26251474,0.00029362005,None,None,None,1.0
214000,None,-0.9764474,None,None,None,None,None,None,1.0
215000,1.3241607,-0.865844,0.004870767,0.22752969,0.00029357968,None,None,None,1.0
216000,1.3322617,-0.7720299,0.0057881773,0.24344447,0.00029353937,None,None,None,1.0
217000,None,-0.70219344,0.0023325395,0.24590105,0.00029349906,None,None,None,1.0
218000,1.3266852,-0.6329885,0.00189546,0.24799795,0.00029346067,None,None,None,1.0
219000,1.3282038,-0.5393578,0.00528227,0.19041966,0.00029345683,None,None,None,1.0
220000,None,-0.4985869,0.0014144626,0.2505443,0.0002934184,None,None,None,1.0
221000,1.3249447,-0.45105535,0.0016455528,0.21089207,0.0002933781,None,None,None,1.0
222000,None,-0.3912769,None,None,None,None,None,None,1.0
223000,1.3219095,-0.3499288,0.0009986039,0.21248758,0.00029333777,None,None,None,1.0
224000,1.3171679,-0.30695707,0.00078404497,0.22588673,0.00029329746,None,None,None,1.0
225000,None,-0.2787613,0.00050498743,0.2102359,0.00029325526,None,None,None,1.0
226000,1.3288463,-0.24714282,None,None,None,None,None,None,1.0
227000,1.324467,-0.20725566,0.0004531436,0.2139799,0.00029321492,None,None,None,1.0
228000,1.3182237,-0.1875274,0.00015808352,0.2440042,0.00029317458,None,None,None,1.0
229000,1.3230851,-0.17072403,0.00018384094,0.2180332,0.00029313617,499.0,-22.047432899475098,-22.047432899475098,1.0
230000,None,-0.17050922,73.708176,0.25801373,0.00029310308,499.0,-21.528964243437116,-21.528964243437116,1.0
231000,1.3118854,-0.5735079,68.314354,0.25802892,0.00029307188,None,-20.675480318069457,-20.675480318069457,1.0
232000,1.3072908,-1.3671257,67.14243,0.26915827,0.00029306873,None,-19.217670440673828,-19.217670440673828,1.0
233000,1.3015227,-1.2847922,0.014162651,0.25873566,0.00029303037,None,None,None,1.0
234000,1.2999446,-1.1603804,0.013257929,0.2310067,0.00029299007,None,None,None,1.0
235000,None,-1.0423867,None,None,None,None,None,None,1.0
236000,1.3090303,-0.93241125,0.0060934457,0.23745483,0.00029294778,None,None,None,1.0
237000,1.3010317,-0.83166796,0.007003909,0.25482556,0.00029290747,None,None,None,1.0
238000,None,-0.75938547,0.0029885964,0.2394545,0.00029286716,None,None,None,1.0
239000,1.2957938,-0.6789217,None,None,None,None,None,None,1.0
240000,1.2975516,-0.58425075,0.0036852085,0.21456906,0.0002928268,None,None,None,1.0
241000,None,-0.5391531,0.0013210624,0.24359357,0.00029278648,None,None,None,1.0
242000,1.2977686,-0.48687914,0.0031040052,0.21502656,0.00029274623,None,None,None,1.0
243000,None,-0.42205337,None,None,None,None,None,None,1.0
244000,1.2936282,-0.37936348,0.00062437094,0.27213818,0.00029270587,None,None,None,1.0
245000,1.2959225,-0.33457702,0.0009945334,0.2464161,0.00029266553,None,None,None,1.0
246000,None,-0.29861298,0.00033033534,0.24422793,0.00029262525,None,None,None,1.0
247000,1.2916024,-0.26557243,None,None,None,None,None,None,1.0
248000,1.2926912,-0.22744887,0.00052748655,0.21431659,0.00029258494,None,None,None,1.0
249000,1.291404,-0.2053859,0.0013647,0.15681706,0.00029254463,None,None,None,1.0
250000,1.2875825,-0.18682878,0.0002938886,0.19426073,0.00029250616,499.0,-23.402761459350586,-23.402761459350586,1.0
251000,None,-0.1862581,70.034164,0.26316512,0.00029247304,499.0,-20.778247180737946,-20.778247180737946,1.0
252000,1.2825978,-0.59880984,63.411247,0.2510072,0.00029244184,None,-20.232056427001954,-20.232056427001954,1.0
253000,1.2799225,-1.3926362,75.5894,0.21483842,0.00029243875,None,-21.443063735961914,-21.443063735961914,1.0
254000,None,-1.3204274,0.015605858,0.21908993,0.00029239847,None,None,None,1.0
255000,1.2886641,-1.1912436,0.008999418,0.24384248,0.00029236006,None,None,None,1.0
256000,None,-1.0815936,None,None,None,None,None,None,1.0
257000,1.2875494,-0.95829046,0.0058187796,0.23231126,0.00029231975,None,None,None,1.0
258000,1.2815518,-0.8571436,0.0075044557,0.25737295,0.00029227944,None,None,None,1.0
259000,None,-0.776892,0.0028453495,0.24938653,0.00029223904,None,None,None,1.0
260000,1.2875899,-0.7045963,0.0021131067,0.2749884,0.00029220065,None,None,None,1.0
261000,1.2856555,-0.59826463,0.0054254197,0.25826824,0.00029219684,None,None,None,1.0
262000,1.277164,-0.5519565,0.0014954964,0.22588627,0.00029215842,None,None,None,1.0
263000,1.2788707,-0.4937594,0.002159369,0.23878196,0.00029211811,None,None,None,1.0
264000,None,-0.431877,None,None,None,None,None,None,1.0
265000,1.2795618,-0.38490576,0.00080909656,0.2196716,0.00029207775,None,None,None,1.0
266000,1.2692643,-0.3408729,0.0010167016,0.26668546,0.0002920375,None,None,None,1.0
267000,None,-0.30687293,0.00065245555,0.2272707,0.00029199524,None,None,None,1.0
268000,1.263216,-0.27192798,None,None,None,None,None,None,1.0
269000,1.262959,-0.23368873,0.0011946976,0.23021698,0.0002919549,None,None,None,1.0
270000,1.2629104,-0.21269296,0.00038571088,0.18679722,0.00029191462,None,None,None,1.0
271000,1.2686027,-0.19155711,0.00024377415,0.2088623,0.00029187623,499.0,-20.228273391723633,-20.228273391723633,1.0
272000,None,-0.18790253,61.3426,0.2597592,0.00029184305,499.0,-19.86074281993665,-19.86074281993665,1.0
273000,1.2744379,-0.55860484,63.19003,0.24825726,0.00029181188,None,-19.802299880981444,-19.802299880981444,1.0
274000,1.2769738,-1.3471073,47.107407,0.18756181,0.00029180868,None,-14.558863639831543,-14.558863639831543,1.0
275000,1.267764,-1.2682894,0.019619085,0.23073268,0.00029177032,None,None,None,1.0
276000,1.2756678,-1.1377492,0.014037648,0.23280123,0.00029173004,None,None,None,1.0
277000,None,-1.012594,None,None,None,None,None,None,1.0
278000,1.2694942,-0.8917959,0.005372237,0.24677174,0.00029168974,None,None,None,1.0
279000,1.2680221,-0.7914715,0.0064501595,0.25169623,0.00029164937,None,None,None,1.0
280000,None,-0.72772664,0.0039891605,0.23195784,0.00029160903,None,None,None,1.0
281000,1.2662346,-0.65360725,0.0018471731,0.24708712,0.0002915706,None,None,None,1.0
282000,1.264045,-0.5515149,0.0045673703,0.21124615,0.00029156674,None,None,None,1.0
